table2_pk,column1,column2,column3,column4,
1,f,j,k,q,
2,fh,a,b,c,
3,d,f,j,k,
4,q,fh,a,b,
5,c,d,f,j,
6,k,q,fh,a,
7,b,c,d,f,
8,j,k,q,fh,
9,a,b,c,d,
10,f,j,k,q,
11,fh,a,b,c,
12,d,f,j,k,
13,q,fh,a,b,
14,c,d,f,j,
15,k,q,fh,a,
16,b,c,d,f,
17,j,k,q,fh,
18,a,b,c,d,
19,f,j,k,q,
20,fh,a,b,c,
21,d,f,j,k,
22,q,fh,f,j,
23,k,q,fh,a,
24,b,c,d,f,
25,j,k,q,fh,
26,a,b,c,d,
27,f,j,k,q,
28,fh,a,b,c,
29,d,f,j,k,
30,q,fh,a,b,
31,c,d,f,j,
32,k,q,fh,a,
33,b,c,d,f,
34,j,k,q,fh,
35,a,b,c,d,
36,f,j,k,q,
37,fh,a,b,c,
38,d,f,j,k,
39,q,fh,a,b,
40,c,d,f,j,
41,k,q,fh,a,
42,b,c,d,f,
43,j,k,q,fh,
44,f,j,k,q,
45,fh,a,b,c,
46,d,f,j,k,
47,q,fh,a,b,
48,c,d,f,j,
49,k,q,fh,a,
50,b,c,d,f,
51,j,k,q,fh,
52,a,b,c,d,
53,f,j,k,q,
54,fh,a,b,c,
55,d,f,j,k,
56,q,fh,a,b,
57,c,d,f,j,
58,k,q,fh,a,
59,b,c,d,f,
60,j,k,q,fh,
61,a,b,c,d,
62,f,j,k,q,
63,fh,a,b,c,
64,d,f,j,k,
65,q,fh,
